YEARCOM,NUTS3,CITY,TIME,NRVIC_cat,NRPERP,CRIMESCENE,MODUS,TYPEHOM,RELAT,PROCESS,TYPE,PRINCIPAL,GENDER_vic,GENDER_perp,AGE_vic,AGE_perp,BIRTHCOUNTRY_vic,BIRTHCOUNTRY_perp,SUICIDE
2012,Groot-Amsterdam,Missing,Missing,Single,Single,"Street, road, public transportation or other public place",Firearm,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Female,Male,Missing,25to39,Netherlands,Netherlands,No
2012,Utrecht,Urban,Morning (6-12),Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Other,Perpetrator and victim do not know each other,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Missing,Missing,No
2012,West-Noord-Brabant,Urban,Night (12-6),Single,Single,Other,Firearm,Criminal milieu,(Step)Child,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Netherlands,Netherlands,Missing
2017,Midden-Noord-Brabant,Urban,Night (12-6),Single,Single,Private home,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Partner,Solved,Victim,"Yes, principal victim",Male,Male,7to17,18to24,Missing,Netherlands,No
2019,Groot-Amsterdam,Urban,Missing,Single,Single,Other,Knife or other sharp object/weapon,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,No
2019,Zuid-Limburg,Urban,Missing,Single,Multiple,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,(Step)Child,Solved,Victim,"Yes, principal victim",Female,Male,7to17,18to24,Netherlands,Missing,No
2017,Zuidoost-Zuid-Holland,Urban,Night (12-6),Single,Single,Private home,Motor vehicle,Partner killing,Partner,Solved,Victim,No,Male,Male,40to64,40to64,Missing,Netherlands,No
2017,Noordoost-Noord-Brabant,Rural,Night (12-6),Single,Single,Other,Blunt object,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,Suicide attempt only
2011,Zuid-Limburg,Rural,Morning (6-12),Single,Multiple,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,25to39,18to24,Other non-European,Missing,Yes
2011,Overig Groningen,Rural,Evening (6-12),Single,Single,Private home,Firearm,Other familial killing,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Netherlands,Missing,No
2019,Kop van Noord-Holland,Rural,Missing,Multiple,Single,"Street, road, public transportation or other public place",Missing,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Netherlands,Other non-European,No
2012,Noord-Friesland,Urban,Afternoon (12-6,Single,Single,"Street, road, public transportation or other public place",Motor vehicle,Robbery killing,Other relative,Solved,Victim,"Yes, principal victim",Male,Missing,18to24,Missing,Missing,Missing,No
2020,Groot-Amsterdam,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Firearm,Other in non-criminal milieu,Perpetrator and victim do not know each other,Unsolved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Netherlands,Missing,No
2012,Groot-Amsterdam,Urban,Morning (6-12),Single,Missing,"Park, forest or recreational area",Knife or other sharp object/weapon,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Netherlands,Other non-European,No
2017,Groot-Rijnmond,Urban,Missing,Single,Missing,Private home,Knife or other sharp object/weapon,Criminal milieu,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Female,Female,25to39,Missing,Missing,Netherlands,Missing
2017,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Missing,Other in non-criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Other Europe,Missing,No
2018,Groot-Rijnmond,Rural,Missing,Multiple,Single,"Street, road, public transportation or other public place",Firearm,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,18to24,Missing,Other Europe,No
2014,West-Noord-Brabant,Urban,Afternoon (12-6,Single,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Other,Other relative,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Missing,Missing,No
2011,Groot-Amsterdam,Missing,Afternoon (12-6,Multiple,Single,Private home,Motor vehicle,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Netherlands,Netherlands,No
2017,Noord-Drenthe,Missing,Missing,Single,Multiple,Private home,Knife or other sharp object/weapon,Criminal milieu,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Netherlands,Netherlands,No
2012,Utrecht,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Missing,Partner killing,Partner,Unsolved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Netherlands,Netherlands,Missing
2020,Groot-Amsterdam,Missing,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Missing,Nightlife violence,(Step)Child,Solved,Victim,"Yes, principal victim",Female,Male,<=6,40to64,Netherlands,Netherlands,No
2013,Het Gooi en Vechtstreek,Rural,Afternoon (12-6,Single,Multiple,"Street, road, public transportation or other public place",Firearm,Missing,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Solved,Victim,"Yes, principal victim",Female,Male,18to24,40to64,Netherlands,Netherlands,No
2020,Alkmaar en omgeving,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Missing,Solved,Victim,"Yes, principal victim",Male,Missing,18to24,18to24,Other non-European,Missing,No
2014,Groot-Rijnmond,Urban,Afternoon (12-6,Single,Missing,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,(Step)Child,Unsolved,Victim,"Yes, principal victim",Female,Missing,25to39,40to64,Netherlands,Other non-European,No
2017,Overig Zeeland,Missing,Missing,Single,Single,Private home,Smoke or fire,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,Missing,Missing,Missing,No
2020,Agglomeratie ’s-Gravenhage,Urban,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Missing,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Netherlands,Netherlands,No
2013,Groot-Amsterdam,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,Missing,25to39,Missing,Missing,No
2020,Twente,Urban,Evening (6-12),Single,Single,"Shop, restaurant or other place of entertainment and amusement","Hitting, kicking or other similar physical violence without weapon,",Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Missing,Missing,Suicide attempt only
2011,Zuid-Limburg,Urban,Night (12-6),Single,Single,Private home,Knife or other sharp object/weapon,Missing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Female,40to64,Missing,Missing,Other Europe,No
2015,Groot-Amsterdam,Urban,Missing,Single,Single,Missing,Knife or other sharp object/weapon,Criminal milieu,Other,Solved,Victim,"Yes, principal victim",Male,Male,>=65,25to39,Netherlands,Missing,No
2011,Zaanstreek,Rural,Missing,Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Other non-European,Other non-European,No
2013,Noord-Overijssel,Urban,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,>=65,40to64,Other Europe,Missing,Missing
2011,Agglomeratie ’s-Gravenhage,Rural,Afternoon (12-6,Single,Single,"Park, forest or recreational area",Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,<=6,Missing,Netherlands,Netherlands,No
2015,Groot-Amsterdam,Urban,Evening (6-12),Single,Missing,"Shop, restaurant or other place of entertainment and amusement",Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Missing,Solved,Victim,"Yes, principal victim",Female,Missing,18to24,40to64,Other non-European,Missing,No
2012,Noordoost-Noord-Brabant,Urban,Missing,Single,Multiple,"Street, road, public transportation or other public place",Firearm,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Missing,Netherlands,No
2018,Twente,Urban,Evening (6-12),Single,Multiple,Missing,Knife or other sharp object/weapon,Criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Other non-European,Other Europe,Suicide attempt only
2018,Arnhem/Nijmegen,Urban,Missing,Single,Multiple,"Street, road, public transportation or other public place",Other,Missing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Other non-European,Missing,Missing
2013,Midden-Noord-Brabant,Urban,Night (12-6),Single,Missing,Other,Firearm,Other familial killing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Missing,25to39,25to39,Netherlands,Netherlands,Suicide attempt only
2018,Ijmond,Rural,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2011,Zuidoost-Drenthe,Urban,Evening (6-12),Single,Multiple,Private home,Hanging/Strangulation/Suffocation,Partner killing,Partner,Solved,Victim,No,Female,Male,40to64,25to39,Netherlands,Netherlands,No
2011,Noordoost-Noord-Brabant,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Blunt object,Other in non-criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Missing,>=65,Missing,Other non-European,Netherlands,Missing
2011,West-Noord-Brabant,Urban,Missing,Single,Multiple,"Street, road, public transportation or other public place",Motor vehicle,Other familial killing,Perpetrator and victim do not know each other,Unsolved,Victim,"Yes, principal victim",Male,Female,>=65,40to64,Netherlands,Missing,Missing
2011,Midden-Limburg,Urban,Missing,Single,Single,"Street, road, public transportation or other public place",Missing,Killing by mentally disturbed person (non-family),Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Male,>=65,18to24,Missing,Netherlands,No
2011,Noordoost-Noord-Brabant,Urban,Morning (6-12),Single,Missing,"Shop, restaurant or other place of entertainment and amusement",Firearm,Partner killing,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Missing,25to39,Missing,Other Europe,Missing,Missing
2013,Zuidwest-Gelderland,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,No,Female,Male,40to64,7to17,Netherlands,Other Europe,Missing
2014,Zuidwest-Gelderland,Rural,Evening (6-12),Single,Single,Private home,Other,Killing by mentally disturbed person (non-family),Partner,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Netherlands,Netherlands,No
2019,Utrecht,Urban,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Other relative,Solved,Victim,"Yes, principal victim",Male,Male,>=65,40to64,Missing,Other non-European,Missing
2016,Agglomeratie ’s-Gravenhage,Urban,Night (12-6),Single,Single,Other,Firearm,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Missing,No
2019,Groot-Amsterdam,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Netherlands,Netherlands,No
2011,Noordoost-Noord-Brabant,Urban,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Partner,Unsolved,Victim,"Yes, principal victim",Male,Female,40to64,Missing,Other non-European,Missing,Missing
2015,Groot-Rijnmond,Urban,Afternoon (12-6,Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Partner killing,Other relative,Solved,Victim,"Yes, principal victim",Female,Female,18to24,7to17,Missing,Netherlands,Yes
2014,Groot-Rijnmond,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2018,Noordoost-Noord-Brabant,Urban,Missing,Single,Multiple,Private home,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Netherlands,Other Europe,No
2019,Utrecht,Urban,Missing,Single,Missing,Other,Knife or other sharp object/weapon,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Other non-European,Other Europe,Missing
2012,Groot-Rijnmond,Urban,Missing,Single,Single,Private home,Missing,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Missing,Missing,No
2016,Zuidoost-Noord-Brabant,Urban,Missing,Single,Single,"Park, forest or recreational area",Firearm,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,25to39,18to24,Other non-European,Missing,No
2011,Zeeuwsch-Vlaanderen,Rural,Afternoon (12-6,Single,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,(Step)Parent,Solved,Victim,No,Female,Male,40to64,25to39,Missing,Other non-European,Missing
2011,Utrecht,Urban,Missing,Single,Single,Private home,Blunt object,Criminal milieu,(Step)Child,Unsolved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Netherlands,Other Europe,Missing
2020,Noord-Limburg,Rural,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Missing,Partner killing,Other,Solved,Victim,"Yes, principal victim",Male,Missing,40to64,40to64,Missing,Other Europe,No
2013,Agglomeratie Haarlem,Urban,Night (12-6),Single,Single,"Park, forest or recreational area",Knife or other sharp object/weapon,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,Missing,Missing,Missing,Missing
2014,Arnhem/Nijmegen,Urban,Missing,Single,Single,"Shop, restaurant or other place of entertainment and amusement",Knife or other sharp object/weapon,Missing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Other non-European,Missing,Suicide attempt only
2019,Groot-Rijnmond,Urban,Night (12-6),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Other in non-criminal milieu,Other,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Netherlands,Other Europe,Yes
2016,Midden-Noord-Brabant,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Netherlands,Netherlands,No
2012,Zuidoost-Zuid-Holland,Urban,Night (12-6),Single,Multiple,Other,Firearm,Other,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Netherlands,Missing,No
2011,Utrecht,Urban,Missing,Multiple,Missing,Private home,"Hitting, kicking or other similar physical violence without weapon,",Criminal milieu,Other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,25to39,Netherlands,Netherlands,No
2014,Noord-Drenthe,Rural,Missing,Single,Single,Other,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,>=65,18to24,Netherlands,Missing,No
2019,Groot-Amsterdam,Urban,Evening (6-12),Multiple,Single,Private home,Knife or other sharp object/weapon,Missing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,Missing,Other Europe,Other Europe,No
2017,Arnhem/Nijmegen,Urban,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Other familial killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,<=6,25to39,Missing,Missing,Missing
2015,Twente,Urban,Morning (6-12),Single,Multiple,Private home,"Hitting, kicking or other similar physical violence without weapon,",Partner killing,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Netherlands,Missing,Missing
2014,Groot-Rijnmond,Urban,Missing,Single,Multiple,"Park, forest or recreational area",Firearm,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,18to24,Missing,Netherlands,No
2020,Groot-Amsterdam,Rural,Missing,Multiple,Multiple,"Street, road, public transportation or other public place",Hanging/Strangulation/Suffocation,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,7to17,18to24,Netherlands,Missing,No
2017,Noord-Friesland,Urban,Missing,Single,Single,Private home,Firearm,Robbery killing,Other,Solved,Victim,"Yes, principal victim",Male,Missing,18to24,40to64,Missing,Netherlands,No
2015,Zuidoost-Drenthe,Urban,Missing,Single,Single,Other,Firearm,Criminal milieu,"Ex-Partner(Wife, Husband, Girlfriend, Boyfriend)",Unsolved,Victim,"Yes, principal victim",Female,Male,7to17,25to39,Other non-European,Missing,No
2019,Zuidoost-Noord-Brabant,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,7to17,Missing,Missing,No
2013,Agglomeratie ’s-Gravenhage,Urban,Afternoon (12-6,Single,Single,Private home,Firearm,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Female,Female,40to64,25to39,Missing,Netherlands,No
2013,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Multiple,Private home,Knife or other sharp object/weapon,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2013,Noordoost-Noord-Brabant,Urban,Missing,Single,Single,Other,Knife or other sharp object/weapon,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Missing,Missing,No
2015,Midden-Limburg,Rural,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,Friend or longtime acquaintance,Unsolved,Victim,"Yes, principal victim",Male,Male,>=65,40to64,Missing,Missing,No
2013,Agglomeratie ’s-Gravenhage,Rural,Morning (6-12),Single,Missing,Private home,Smoke or fire,Nightlife violence,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Missing,Netherlands,No
2011,Groot-Rijnmond,Urban,Evening (6-12),Single,Single,Missing,Missing,Partner killing,(Step)Child,Unsolved,Victim,"Yes, principal victim",Male,Missing,25to39,40to64,Other Europe,Missing,Missing
2015,Groot-Rijnmond,Urban,Missing,Single,Missing,Private home,Firearm,Other familial killing,(Step)Child,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Netherlands,Missing,No
2019,Utrecht,Urban,Missing,Single,Single,Private home,Missing,Criminal milieu,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,18to24,25to39,Missing,Netherlands,Missing
2013,Het Gooi en Vechtstreek,Urban,Missing,Single,Single,Private home,Hanging/Strangulation/Suffocation,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,>=65,Missing,Netherlands,Netherlands,No
2018,Achterhoek,Urban,Night (12-6),Single,Single,Missing,Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Missing,Other Europe,Missing
2012,Zuid-Limburg,Rural,Missing,Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,Other,Solved,Victim,"Yes, principal victim",Female,Missing,Missing,25to39,Netherlands,Netherlands,No
2019,Groot-Amsterdam,Rural,Evening (6-12),Single,Single,Private home,Smoke or fire,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,25to39,25to39,Netherlands,Missing,No
2018,Groot-Amsterdam,Rural,Missing,Single,Single,Private home,Firearm,Other familial killing,Partner,Solved,Victim,"Yes, principal victim",Female,Male,18to24,40to64,Netherlands,Missing,Missing
2020,Twente,Urban,Evening (6-12),Single,Single,Private home,Blunt object,Missing,Other,Solved,Victim,"Yes, principal victim",Female,Male,>=65,18to24,Missing,Missing,Yes
2018,Groot-Amsterdam,Urban,Evening (6-12),Single,Single,Private home,Firearm,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Female,25to39,40to64,Missing,Missing,No
2015,Groot-Amsterdam,Urban,Morning (6-12),Single,Single,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Unsolved,Victim,"Yes, principal victim",Male,Male,18to24,25to39,Missing,Netherlands,No
2015,Utrecht,Urban,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Missing,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Male,25to39,Missing,Missing,Missing,No
2017,Utrecht,Urban,Evening (6-12),Single,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Other familial killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,>=65,25to39,Missing,Other non-European,No
2012,Groot-Amsterdam,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Other in non-criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Female,Male,25to39,18to24,Missing,Missing,No
2017,Het Gooi en Vechtstreek,Missing,Evening (6-12),Single,Single,Private home,Firearm,Partner killing,Other,Solved,Victim,"Yes, principal victim",Male,Male,>=65,Missing,Missing,Missing,No
2017,Overig Zeeland,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Missing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Missing,Missing,No
2017,Groot-Amsterdam,Urban,Night (12-6),Single,Single,"Shop, restaurant or other place of entertainment and amusement",Missing,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,40to64,18to24,Missing,Missing,No
2016,Zuidoost-Noord-Brabant,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Missing,Netherlands,Yes
2012,Groot-Amsterdam,Urban,Morning (6-12),Multiple,Multiple,Other,Knife or other sharp object/weapon,Partner killing,(Step)Parent,Solved,Victim,"Yes, principal victim",Male,Male,>=65,18to24,Missing,Other non-European,No
2016,Twente,Urban,Evening (6-12),Single,Single,Other,Firearm,Partner killing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,40to64,Netherlands,Missing,No
2012,Zuidwest-Drenthe,Urban,Night (12-6),Single,Missing,"Shop, restaurant or other place of entertainment and amusement",Motor vehicle,Other in non-criminal milieu,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Female,Male,25to39,Missing,Netherlands,Missing,No
2016,Midden-Noord-Brabant,Urban,Missing,Multiple,Multiple,"Street, road, public transportation or other public place",Knife or other sharp object/weapon,Criminal milieu,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,25to39,18to24,Missing,Missing,Yes
2018,Groot-Amsterdam,Urban,Afternoon (12-6,Single,Missing,"Street, road, public transportation or other public place",Blunt object,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Other non-European,Other Europe,No
2017,Utrecht,Rural,Missing,Single,Single,Private home,Firearm,Other,Other relative,Unsolved,Victim,"Yes, principal victim",Female,Male,40to64,7to17,Missing,Missing,Missing
2013,Groot-Rijnmond,Rural,Evening (6-12),Single,Single,Private home,Blunt object,Partner killing,Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,18to24,40to64,Netherlands,Netherlands,Missing
2017,Utrecht,Rural,Evening (6-12),Single,Single,Private home,Firearm,Missing,Missing,Solved,Victim,"Yes, principal victim",Female,Male,25to39,25to39,Missing,Missing,No
2014,Agglomeratie ’s-Gravenhage,Urban,Missing,Single,Single,Missing,Knife or other sharp object/weapon,Missing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Netherlands,Missing,Missing
2018,Agglomeratie ’s-Gravenhage,Urban,Evening (6-12),Multiple,Multiple,Private home,Firearm,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,>=65,18to24,Missing,Netherlands,No
2013,Midden-Limburg,Rural,Missing,Single,Single,Private home,Missing,Other in non-criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,40to64,40to64,Netherlands,Netherlands,Missing
2020,Twente,Urban,Morning (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Missing,25to39,25to39,Missing,Missing,Missing
2011,Zuid-Limburg,Urban,Missing,Single,Single,Other,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,>=65,25to39,Missing,Netherlands,No
2012,Arnhem/Nijmegen,Urban,Evening (6-12),Single,Single,Private home,Firearm,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Female,Male,25to39,40to64,Missing,Netherlands,No
2014,Groot-Amsterdam,Urban,Missing,Single,Single,"Park, forest or recreational area",Firearm,Missing,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Other Europe,Netherlands,Yes
2015,Groot-Rijnmond,Urban,Night (12-6),Single,Single,Private home,Hanging/Strangulation/Suffocation,Killing by mentally disturbed person (non-family),Missing,Solved,Victim,"Yes, principal victim",Female,Female,40to64,Missing,Netherlands,Netherlands,Suicide attempt only
2018,Utrecht,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Criminal milieu,Missing,Solved,Victim,"Yes, principal victim",Female,Male,18to24,18to24,Netherlands,Missing,No
2014,Flevoland,Urban,Evening (6-12),Single,Single,Private home,Knife or other sharp object/weapon,Killing by mentally disturbed person (non-family),Missing,Unsolved,Victim,"Yes, principal victim",Female,Missing,40to64,40to64,Missing,Netherlands,Missing
2011,West-Noord-Brabant,Urban,Morning (6-12),Multiple,Multiple,"Street, road, public transportation or other public place",Missing,Killing by mentally disturbed person (non-family),Perpetrator and victim do not know each other,Solved,Victim,"Yes, principal victim",Male,Male,Missing,18to24,Missing,Other non-European,No
2020,Groot-Rijnmond,Rural,Evening (6-12),Single,Single,Private home,Missing,Other in non-criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Male,Male,40to64,25to39,Missing,Missing,No
2018,Groot-Amsterdam,Urban,Evening (6-12),Single,Single,Private home,Motor vehicle,Other familial killing,Missing,Solved,Victim,No,Female,Male,>=65,25to39,Netherlands,Other non-European,No
2011,Zuidoost-Noord-Brabant,Urban,Night (12-6),Multiple,Missing,"Street, road, public transportation or other public place","Hitting, kicking or other similar physical violence without weapon,",Partner killing,Missing,Unsolved,Victim,"Yes, principal victim",Male,Male,40to64,7to17,Netherlands,Missing,No
2017,Groot-Rijnmond,Urban,Evening (6-12),Single,Single,Private home,"Hitting, kicking or other similar physical violence without weapon,",Missing,Friend or longtime acquaintance,Solved,Victim,"Yes, principal victim",Male,Female,25to39,25to39,Other non-European,Netherlands,No
2020,Flevoland,Urban,Morning (6-12),Single,Single,Other,Smoke or fire,Criminal milieu,Partner,Solved,Victim,"Yes, principal victim",Missing,Male,25to39,25to39,Missing,Other Europe,Missing
2011,Overig Groningen,Urban,Missing,Single,Single,Other,Firearm,Partner killing,Missing,Solved,Victim,"Yes, principal victim",Male,Male,25to39,40to64,Other non-European,Netherlands,No
2019,Groot-Amsterdam,Urban,Missing,Single,Single,Private home,Knife or other sharp object/weapon,Partner killing,The perpetrator and victim are slightly known to each other (not friends),Solved,Victim,"Yes, principal victim",Male,Male,18to24,25to39,Missing,Netherlands,No
